company_size,company_country,position_country,position_employmentType,position_workSetting,position_name,employee_gender,employee_age_gap,employee_country,interview_date,interview_score,interview_duration,interviewer_name,interviewer_gender,candidate_name,candidate_gender,candidate_country
M,United States,United States,Full-time,Office,Data Architect,Male,28-37,United States,2023-09-23,8,22,Interviewer Second,Female,Abigail Thompson,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Male,18-27,United States,2023-05-11,10,47,Interviewer First,Male,Michael Smith,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2023-10-30,8,19,Interviewer First,Male,Ava Harris,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,28-37,United States,2024-04-25,8,45,Interviewer First,Male,Emily Brown,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Male,18-27,United States,2024-04-12,9,53,Interviewer First,Male,Michael White,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Researcher,Female,28-37,United States,2023-01-06,8,59,Interviewer Second,Female,Alexander Anderson,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Researcher,Male,38-47,United States,2023-08-05,9,17,Interviewer First,Male,Abigail Davis,Male,United States
M,United States,United States,Full-time,Remote,Data Engineer,Male,28-37,United States,2023-08-15,8,23,Interviewer First,Male,Matthew Williams,Male,United States
M,United States,United States,Full-time,Remote,Data Engineer,Female,18-27,United States,2023-09-09,10,46,Interviewer First,Male,Charlotte White,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,18-27,United States,2021-11-16,9,29,Interviewer First,Male,Joseph Martinez,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,18-27,United States,2024-01-26,10,18,Interviewer First,Male,Charlotte Thompson,Female,United States
M,United Kingdom,United Kingdom,Full-time,Office,Data Scientist,Male,18-27,United Kingdom,2022-09-19,9,35,Interviewer Second,Female,Charlotte Thomas,Male,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Scientist,Female,38-47,United Kingdom,2023-08-02,8,27,Interviewer Second,Female,Daniel Robinson,Female,United Kingdom
M,United States,United States,Full-time,Office,Data Analyst,Female,28-37,United States,2023-10-13,8,43,Interviewer Second,Female,Elizabeth Robinson,Female,United States
M,United States,United States,Full-time,Office,Data Analyst,Female,28-37,United States,2023-09-04,9,29,Interviewer Second,Female,William Jackson,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2023-09-22,10,26,Interviewer Second,Female,David Smith,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,28-37,United States,2022-01-23,8,40,Interviewer First,Male,Matthew Smith,Female,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Male,18-27,United States,2021-08-04,10,32,Interviewer First,Male,Emma Johnson,Male,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Male,38-47,United States,2024-02-03,8,22,Interviewer Second,Female,Elizabeth Miller,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,18-27,United States,2021-08-12,8,24,Interviewer First,Male,Daniel Harris,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2020-10-07,8,25,Interviewer Second,Female,Isabella Robinson,Male,United States
M,United States,United States,Full-time,Office,Data Analyst,Female,28-37,United States,2024-05-06,10,39,Interviewer Second,Female,Joseph Thompson,Female,United States
M,United States,United States,Full-time,Office,Data Analyst,Male,18-27,United States,2023-04-10,10,47,Interviewer First,Male,Sophia Thomas,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2023-12-15,9,33,Interviewer First,Male,Charlotte Brown,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,18-27,United States,2023-11-14,10,56,Interviewer Second,Female,David Davis,Male,United States
L,United States,United States,Full-time,Office,Applied Scientist,Male,18-27,United States,2022-06-17,10,22,Interviewer Second,Female,Charlotte Smith,Male,United States
L,United States,United States,Full-time,Office,Applied Scientist,Female,38-47,United States,2023-06-16,9,24,Interviewer Second,Female,Charlotte Moore,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2024-01-11,8,20,Interviewer First,Male,Emily Davis,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,28-37,United States,2023-11-11,8,45,Interviewer Second,Female,Ava Moore,Male,United States
M,United States,United States,Full-time,Office,BI Developer,Male,28-37,United States,2023-06-14,10,53,Interviewer Second,Female,Ethan Taylor,Male,United States
M,United States,United States,Full-time,Office,BI Developer,Male,28-37,United States,2022-04-10,8,60,Interviewer First,Male,John White,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2023-10-28,10,49,Interviewer Second,Female,Alexander Garcia,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,28-37,United States,2024-01-23,9,39,Interviewer First,Male,Ethan Miller,Male,United States
L,United States,United States,Full-time,Office,Business Intelligence Engineer,Male,28-37,United States,2022-01-09,10,54,Interviewer First,Male,Michael Garcia,Male,United States
L,United States,United States,Full-time,Office,Business Intelligence Engineer,Female,28-37,United States,2021-01-27,9,31,Interviewer Second,Female,Daniel Thomas,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,28-37,United States,2021-03-29,10,51,Interviewer Second,Female,David Smith,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,38-47,United States,2023-12-14,9,18,Interviewer Second,Female,Mia Martinez,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2021-08-11,10,36,Interviewer Second,Female,Alexander Williams,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,18-27,United States,2024-02-02,10,48,Interviewer Second,Female,Charlotte Harris,Male,United States
M,United States,United States,Full-time,Office,Data Analyst,Male,38-47,United States,2023-02-18,8,33,Interviewer First,Male,Ava Taylor,Male,United States
M,United States,United States,Full-time,Office,Data Analyst,Female,38-47,United States,2021-05-21,9,50,Interviewer First,Male,Sophia Johnson,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,38-47,United States,2023-05-11,10,16,Interviewer First,Male,Joseph Smith,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,18-27,United States,2023-11-27,10,53,Interviewer First,Male,Sophia Johnson,Female,United States
L,United States,United States,Full-time,Office,Research Scientist,Male,28-37,United States,2021-09-18,9,15,Interviewer Second,Female,Ethan Martinez,Male,United States
L,United States,United States,Full-time,Office,Research Scientist,Male,28-37,United States,2022-04-14,10,26,Interviewer First,Male,Abigail Thompson,Male,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,18-27,United States,2021-02-21,8,41,Interviewer Second,Female,Sophia Garcia,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Male,28-37,United States,2023-06-12,10,51,Interviewer Second,Female,William Robinson,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,18-27,United States,2023-12-14,10,15,Interviewer First,Male,Olivia Thomas,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2022-06-05,8,28,Interviewer Second,Female,John Wilson,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,38-47,United States,2023-08-19,8,51,Interviewer First,Male,Isabella Smith,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2023-11-16,8,41,Interviewer Second,Female,Michael Jackson,Female,United States
M,United States,United States,Full-time,Remote,Research Analyst,Male,28-37,United States,2021-06-02,9,50,Interviewer Second,Female,William Moore,Male,United States
M,United States,United States,Full-time,Remote,Research Analyst,Female,38-47,United States,2022-05-27,9,60,Interviewer First,Male,Emma Anderson,Female,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Female,38-47,United States,2023-01-13,9,56,Interviewer First,Male,William Jones,Female,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Female,18-27,United States,2023-04-23,10,37,Interviewer Second,Female,Abigail Jones,Female,United States
M,United States,United States,Full-time,Office,Research Scientist,Male,38-47,United States,2023-08-04,10,40,Interviewer Second,Female,Ethan Jackson,Male,United States
M,United States,United States,Full-time,Office,Research Scientist,Female,28-37,United States,2022-05-22,10,18,Interviewer Second,Female,Emma Thomas,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2023-08-01,8,55,Interviewer First,Male,Michael Thomas,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,28-37,United States,2024-02-24,10,49,Interviewer Second,Female,Sophia Thompson,Male,United States
M,United States,United States,Full-time,Office,Research Engineer,Male,38-47,United States,2023-08-26,9,50,Interviewer Second,Female,Michael Robinson,Male,United States
